date,date_in_file,date_title,layout,pop_total,pop_prisons,pop_irc,pop_male,pop_female,uoc_total,uoc_prisons,uoc_irc,headroom,headroom_calc,operating_margin,hdc,police_cells,ya_pop_total,ya_uoc_total,title,url,local,error
2011-07-08,2011-07-08,2011-07-08,D2,85378.0,84739.0,639.0,81185.0,4193.0,87975.0,87147.0,828.0,2597.0,2597.0,2000.0,2728.0,,,,Population Bulletin - Weekly 08 July 2011,https://assets.publishing.service.gov.uk/media/5a7b9c8340f0b62826a04af4/prison-population-08-july-2011.doc,raw/weekly_doc_txt/5a7b9c8340f0b62826a04af4_prison-population-08-july-2011.html,
2011-08-12,2011-08-12,2011-08-12,D2,85931.0,85324.0,607.0,81738.0,4193.0,88049.0,87169.0,880.0,2118.0,2118.0,2000.0,2773.0,,,,Population Bulletin - Weekly 12 August 2011,https://assets.publishing.service.gov.uk/media/5a7ba84240f0b645ba3c5bb6/prison-populaton-12-aug-2011.doc,raw/weekly_doc_txt/5a7ba84240f0b645ba3c5bb6_prison-populaton-12-aug-2011.html,
2011-10-14,2011-10-14,2011-10-14,D2,87551.0,86751.0,796.0,83346.0,4205.0,89043.0,87858.0,953.0,1492.0,1492.0,2000.0,2759.0,,,,Population Bulletin - Weekly 14 October 2011,https://assets.publishing.service.gov.uk/media/5a7c035040f0b63f7572acd0/prison-population-14-oct-2011.doc,raw/weekly_doc_txt/5a7c035040f0b63f7572acd0_prison-population-14-oct-2011.html,
2011-04-15,2011-04-15,2011-04-15,D2,85439.0,84883.0,556.0,81199.0,4240.0,87759.0,87165.0,594.0,2320.0,2320.0,2000.0,2720.0,,,,Population Bulletin - Weekly 15 April 2011,https://assets.publishing.service.gov.uk/media/5a7c0b5c40f0b63f7572afdf/Population-Bulletin-Weekly-015-April-2011.doc,raw/weekly_doc_txt/5a7c0b5c40f0b63f7572afdf_Population-Bulletin-Weekly-015-April-2011.html,
2011-10-21,2011-10-21,2011-10-21,D2,87652.0,86837.0,815.0,83430.0,4222.0,89217.0,88225.0,992.0,1565.0,1565.0,2000.0,2776.0,,,,Population Bulletin - Weekly 21 October 2011,https://assets.publishing.service.gov.uk/media/5a7c0f4ee5274a7202e194b3/prison-population-21-oct-2011.doc,raw/weekly_doc_txt/5a7c0f4ee5274a7202e194b3_prison-population-21-oct-2011.html,
2011-03-18,2007-11-09,2011-03-18,D1,85419.0,,,81156.0,4263.0,88480.0,,,3061.0,3061.0,2000.0,2689.0,,84467.0,86505.0,Population Bulletin - Weekly 18 March 2011,https://assets.publishing.service.gov.uk/media/5a7c1a66ed915d210ade1998/10004C7B18032011_web_report.doc,raw/weekly_doc_txt/5a7c1a66ed915d210ade1998_10004C7B18032011_web_report.html,
2011-09-16,2011-09-16,2011-09-16,D2,87120.0,86492.0,628.0,82876.0,4244.0,88747.0,88119.0,628.0,1627.0,1627.0,2000.0,2745.0,,,,Population Bulletin - Weekly 16 September 2011,https://assets.publishing.service.gov.uk/media/5a7c202aed915d1c30daab8f/prison-population-16-sept-2011.doc,raw/weekly_doc_txt/5a7c202aed915d1c30daab8f_prison-population-16-sept-2011.html,
2011-03-25,2007-11-09,2011-03-25,D1,85454.0,,,81202.0,4252.0,87690.0,,,2236.0,2236.0,2000.0,2673.0,,84897.0,86637.0,Population Bulletin - Weekly 25 March 2011,https://assets.publishing.service.gov.uk/media/5a7c314440f0b67d0b11f782/10004C7E25032011_web_report.doc,raw/weekly_doc_txt/5a7c314440f0b67d0b11f782_10004C7E25032011_web_report.html,
2011-05-20,2011-05-20,2011-05-20,D2,84928.0,84346.0,582.0,80779.0,4149.0,87787.0,87153.0,634.0,2859.0,2859.0,2000.0,2716.0,,,,Population Bulletin - Weekly 20 May 2011,https://assets.publishing.service.gov.uk/media/5a7c35d0e5274a1f5cc76879/prison-population-20-may-2011.doc,raw/weekly_doc_txt/5a7c35d0e5274a1f5cc76879_prison-population-20-may-2011.html,
2011-07-29,2011-07-29,2011-07-29,D2,85543.0,84902.0,641.0,81389.0,4154.0,88083.0,87203.0,880.0,2540.0,2540.0,2000.0,2769.0,,,,Population Bulletin - Weekly 29 July 2011,https://assets.publishing.service.gov.uk/media/5a7c37f5ed915d7d70d1d5f9/prison-populaton-29-july-2011.doc,raw/weekly_doc_txt/5a7c37f5ed915d7d70d1d5f9_prison-populaton-29-july-2011.html,
